100,Steven,King,SKING,515.123.4567,1987-06-17,AD_PRES,24000.00,0.00,0,90
101,Neena,Kochhar,SKING,515.123.4568,1987-06-18,AD_VP,17000.00,0.00,100,90
102,Lex,De Haan,SKING,515.123.4569,1987-06-19,AD_VP,17000.00,0.00,100,90
103,Alexander,Hunold,SKING,590.423.4567,1987-06-20,IT_PROG,9000.00,0.00,102,60
104,Bruce,Ernst,SKING,590.423.4568,1987-06-21,IT_PROG,6000.00,0.00,103,60
105,David,Austin,SKING,590.423.4569,1987-06-22,IT_PROG,4800.00,0.00,103,60
106,Valli,Pataballa,SKING,590.423.4560,1987-06-23,IT_PROG,4800.00,0.00,103,60
107,Diana,Lorentz,SKING,590.423.5567,1987-06-24,IT_PROG,4200.00,0.00,103,60
114,Den,Raphaely,SKING,515.127.4561,1987-07-01,PU_MAN,11000.00,0.00,100,30
115,Alexander,Khoo,SKING,515.127.4562,1987-07-02,PU_CLERK,3100.00,0.00,114,30
116,Shelli,Baida,SKING,515.127.4563,1987-07-03,PU_CLERK,2900.00,0.00,114,30
117,Sigal,Tobias,SKING,515.127.4564,1987-07-04,PU_CLERK,2800.00,0.00,114,30
108,Nancy,Greenberg,SKING,515.999.4569,1987-06-25,FI_MGR,12000.00,0.00,101,100
109,Daniel,Faviet,SKING,515.999.4169,1987-06-26,FI_ACCOUNT,9000.00,0.00,108,100
110,John,Chen,SKING,515.999.4269,1987-06-27,FI_ACCOUNT,8200.00,0.00,108,100
111,Ismael,Sciarra,SKING,515.999.4369,1987-06-28,FI_ACCOUNT,7700.00,0.00,108,100
112,Jose Manuel,Urman,SKING,515.999.4469,1987-06-29,FI_ACCOUNT,7800.00,0.00,108,100
113,Luis,Popp,SKING,515.999.4567,1987-06-30,FI_ACCOUNT,6900.00,0.00,108,100
133,Jason,Mallin,SKING,650.127.1934,1987-07-20,ST_CLERK,3300.00,0.00,122,50
134,Michael,Rogers,SKING,650.127.1834,1987-07-21,ST_CLERK,2900.00,0.00,122,50
135,Ki,Gee,SKING,650.127.1734,1987-07-22,ST_CLERK,2400.00,0.00,122,50
136,Hazel,Philtanker,SKING,650.127.1634,1987-07-23,ST_CLERK,2200.00,0.00,122,50
137,Renske,Ladwig,SKING,650.121.1234,1987-07-24,ST_CLERK,3600.00,0.00,123,50
138,Stephen,Stiles,SKING,650.121.2034,1987-07-25,ST_CLERK,3200.00,0.00,123,50
139,John,Seo,SKING,650.121.2019,1987-07-26,ST_CLERK,2700.00,0.00,123,50
140,Joshua,Patel,SKING,650.121.1834,1987-07-27,ST_CLERK,2500.00,0.00,123,50
129,Laura,Bissot,SKING,650.999.5234,1987-07-16,ST_CLERK,3300.00,0.00,121,50
130,Mozhe,Atkinson,SKING,650.999.6234,1987-07-17,ST_CLERK,2800.00,0.00,121,50
131,James,Marlow,SKING,650.999.7234,1987-07-18,ST_CLERK,2500.00,0.00,121,50
132,TJ,Olson,SKING,650.999.8234,1987-07-19,ST_CLERK,2100.00,0.00,121,50
141,Trenna,Rajs,SKING,650.121.8009,1987-07-28,ST_CLERK,3500.00,0.00,124,50
142,Curtis,Davies,SKING,650.121.2994,1987-07-29,ST_CLERK,3100.00,0.00,124,50
